gene_0	gene_1	sources	unbiased
60	8452	1	0
60	8453	1	0
60	8454	1	0
60	8507	1	0
60	8607	1	0
60	8655	2	0
60	8662	1	0
60	8663	1	0
60	8664	1	0
60	8668	1	0
60	8842	1	0
60	8904	2	0
60	8936	2	0
60	8941	2	0
60	9051	1	0
60	9468	1	0
60	9475	1	0
60	9564	1	0
60	9643	1	0
60	9657	1	0
60	9768	1	0
60	9775	1	0
60	10056	1	0
60	10095	2	0
60	10120	1	0
60	10128	1	0
60	10163	1	0
60	10202	1	0
60	10376	1	0
60	10399	1	0
60	10458	1	0
60	10480	1	0
60	10486	2	1
60	10487	2	0
60	10524	1	0
60	10529	2	0
60	10537	1	0
60	10574	1	0
60	10575	2	0
60	10576	2	0
60	10611	2	0
60	10627	1	0
60	10657	1	0
60	10694	2	0
60	10787	1	0
60	10810	2	0
60	10856	1	0
60	10902	1	0
60	10933	1	0
60	10980	1	0
60	10987	1	0
60	11021	1	0
60	11034	5	1
60	11151	2	0
60	22948	2	0
60	23136	1	0
60	23191	1	0
60	23214	2	0
60	23400	1	0
60	23468	1	0
60	23623	1	0
60	25802	2	0
60	25932	2	0
60	26122	1	0
60	26146	1	0
60	26156	1	0
60	26260	2	0
60	26277	1	0
60	26578	1	0
60	27335	1	0
60	29109	1	0
60	29124	2	0
60	29882	1	0
60	51762	1	0
60	54434	2	0
60	54556	1	0
60	54617	1	0
60	54961	1	0
60	55093	2	1
60	55257	2	0
60	55333	2	0
60	55611	1	0
60	55729	3	0
60	55832	1	0
60	55929	1	0
60	56257	1	0
60	57154	1	0
60	57591	1	0
60	57634	1	0
60	64005	1	0
60	65057	1	0
60	65979	2	0
60	80314	1	0
60	83988	2	0
60	84172	1	0
60	84700	1	0
60	85461	2	0
60	85464	2	0
60	103910	1	0
60	120892	1	0
60	131034	2	0
60	137735	2	0
60	192669	1	0
60	192670	1	0
60	203068	1	0
60	221184	2	0
60	254427	1	0
60	653361	4	0
70	81	2	0
70	283	2	0
70	409	2	0
70	823	2	0
70	1072	2	0
70	1756	2	0
70	2039	2	0
70	2099	1	0
70	2597	1	0
70	2638	1	0
70	2885	1	0
70	3315	2	0
70	3676	1	0
70	3927	2	0
70	4116	1	0
70	4638	1	0
70	5339	2	0
70	5581	2	0
70	5756	1	0
70	6521	2	0
70	6624	2	0
70	7316	1	0
70	7341	1	0
70	7430	2	0
70	7454	2	0
70	7456	1	0
70	8266	1	0
70	8655	2	0
70	8790	1	0
70	9070	1	0
70	9775	1	0
70	10015	1	0
70	10097	2	0
70	11133	2	0
70	11275	2	0
70	22885	2	0
70	23224	2	0
70	23345	1	0
70	23607	1	0
70	51086	2	0
70	51660	3	0
70	53335	1	0
70	60312	2	0
70	84676	3	0
